label,loss,sce_radius,seed,temperature,neighbor_scale,method,nfe,valid,novel,unique_valid,unique_novel,total
sce_r1_temp08_s0,sce,1,0,0.8,4.0,neighbor,32,441,337,440,337,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,entropy,32,337,278,337,278,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,euler,64,499,392,499,392,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,neighbor,64,524,415,524,415,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,entropy,64,443,345,442,344,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,euler,128,544,406,544,406,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,neighbor,128,523,380,522,380,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,entropy,128,546,397,546,397,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,euler,256,515,396,515,396,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,neighbor,256,567,419,565,418,1024
sce_r1_temp08_s0,sce,1,0,0.8,4.0,entropy,256,564,410,563,410,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,euler,8,275,235,275,235,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,neighbor,8,252,203,252,203,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,entropy,8,76,67,76,67,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,euler,16,400,326,399,325,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,neighbor,16,370,285,368,284,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,entropy,16,191,174,191,174,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,euler,32,459,352,458,351,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,neighbor,32,478,366,478,366,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,entropy,32,314,251,314,251,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,euler,64,490,374,490,374,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,neighbor,64,511,387,510,386,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,entropy,64,481,374,480,373,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,euler,128,518,384,518,384,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,neighbor,128,518,379,518,379,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,entropy,128,556,401,556,401,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,euler,256,531,388,531,388,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,neighbor,256,536,400,535,400,1024
sce_r1_temp08_s1,sce,1,1,0.8,4.0,entropy,256,572,410,570,410,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,euler,8,289,252,289,252,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,neighbor,8,234,187,234,187,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,entropy,8,52,48,52,48,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,euler,16,372,305,372,305,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,neighbor,16,352,280,351,279,1024
